Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom
    1.10000e-02    3.47072e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.08085e+17    2.05390e+17    0.00000e+00    0.00000e+00    6.16169e+17    6.16169e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.22567e-02    4.76285e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.79671e+17    2.53114e+17    0.00000e+00    0.00000e+00    7.59341e+17    7.59341e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.36569e-02    6.53603e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.67890e+17    3.11927e+17    0.00000e+00    0.00000e+00    9.35780e+17    9.35780e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.52171e-02    8.96937e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.76608e+17    3.84406e+17    0.00000e+00    0.00000e+00    1.15322e+18    1.15322e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.69556e-02    1.23086e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.10588e+17    4.73725e+17    0.00000e+00    0.00000e+00    1.42118e+18    1.42118e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.88926e-02    1.68911e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.75699e+17    5.83799e+17    0.00000e+00    0.00000e+00    1.75140e+18    1.75140e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.10510e-02    2.31795e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.07917e+18    7.19450e+17    0.00000e+00    0.00000e+00    2.15835e+18    2.15835e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.34559e-02    3.18092e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.32993e+18    8.86620e+17    0.00000e+00    0.00000e+00    2.65986e+18    2.65986e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.61355e-02    4.36516e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.63895e+18    1.09263e+18    0.00000e+00    0.00000e+00    3.27790e+18    3.27790e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.91213e-02    5.99028e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.01977e+18    1.34651e+18    0.00000e+00    0.00000e+00    4.03954e+18    4.03954e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.24483e-02    8.22044e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.48908e+18    1.65939e+18    0.00000e+00    0.00000e+00    4.97816e+18    4.97816e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    3.61552e-02    1.12809e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.06744e+18    2.04496e+18    0.00000e+00    0.00000e+00    6.13488e+18    6.13488e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.02857e-02    1.54807e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.78019e+18    2.52012e+18    0.00000e+00    0.00000e+00    7.56037e+18    7.56037e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    4.48881e-02    2.12441e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.65854e+18    3.10569e+18    0.00000e+00    0.00000e+00    9.31708e+18    9.31708e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    5.00162e-02    2.91531e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.74099e+18    3.82733e+18    0.00000e+00    0.00000e+00    1.14820e+19    1.14820e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    5.57302e-02    4.00067e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.07496e+18    4.71664e+18    0.00000e+00    0.00000e+00    1.41499e+19    1.41499e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    6.20970e-02    5.49010e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.71888e+18    5.81259e+18    0.00000e+00    0.00000e+00    1.74378e+19    1.74378e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    6.91911e-02    7.53404e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.07448e+19    7.16319e+18    0.00000e+00    0.00000e+00    2.14896e+19    2.14896e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    7.70957e-02    1.03389e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.32414e+19    8.82761e+18    0.00000e+00    0.00000e+00    2.64828e+19    2.64828e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    8.59034e-02    1.41881e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.63182e+19    1.08788e+19    0.00000e+00    0.00000e+00    3.26363e+19    3.26363e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    9.57172e-02    1.94702e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.01098e+19    1.34066e+19    0.00000e+00    0.00000e+00    4.02197e+19    4.02197e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.06652e-01    2.67189e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.47825e+19    1.65217e+19    1.65217e+19    0.00000e+00    4.95650e+19    4.95650e+19    0.00000e+00    4.95650e+19    0.00000e+00    0.00000e+00
    1.18836e-01    3.66662e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.05409e+19    2.03606e+19    2.03606e+19    0.00000e+00    6.10819e+19    6.10819e+19    0.00000e+00    6.10819e+19    0.00000e+00    0.00000e+00
    1.32413e-01    5.03169e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.76374e+19    2.50916e+19    2.50916e+19    0.00000e+00    7.52747e+19    7.52747e+19    0.00000e+00    7.52747e+19    0.00000e+00    0.00000e+00
    1.47540e-01    6.88910e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.60593e+19    3.07062e+19    3.07062e+19    0.00000e+00    9.21186e+19    9.21186e+19    0.00000e+00    9.21186e+19    0.00000e+00    0.00000e+00
    1.64395e-01    9.81580e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.69561e+19    3.79707e+19    3.79707e+19    0.00000e+00    1.13912e+20    1.13912e+20    0.00000e+00    1.13912e+20    0.00000e+00    0.00000e+00
    1.83176e-01    1.33897e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.04132e+19    4.69421e+19    4.69421e+19    0.00000e+00    1.40826e+20    1.40826e+20    0.00000e+00    1.40826e+20    0.00000e+00    0.00000e+00
    2.04103e-01    1.77445e+17    1.41956e+18    0.00000e+00    0.00000e+00    0.00000e+00    8.70060e+19    5.80040e+19    5.80040e+19    0.00000e+00    1.74012e+20    1.74012e+20    0.00000e+00    1.74012e+20    0.00000e+00    0.00000e+00
    2.27420e-01    2.38328e+17    1.90662e+18    0.00000e+00    0.00000e+00    0.00000e+00    1.07452e+20    7.16347e+19    7.16347e+19    0.00000e+00    2.14904e+20    2.14904e+20    0.00000e+00    2.14904e+20    0.00000e+00    0.00000e+00
    2.53401e-01    3.32807e+17    2.66246e+18    0.00000e+00    0.00000e+00    0.00000e+00    1.32626e+20    8.84175e+19    8.84175e+19    0.00000e+00    2.65253e+20    2.65253e+20    0.00000e+00    2.65253e+20    0.00000e+00    0.00000e+00
    2.82351e-01    4.69384e+17    3.75507e+18    0.00000e+00    0.00000e+00    0.00000e+00    1.63564e+20    1.09042e+20    1.09042e+20    0.00000e+00    3.27127e+20    3.27127e+20    0.00000e+00    3.27127e+20    0.00000e+00    0.00000e+00
    3.14607e-01    6.39162e+17    5.11330e+18    0.00000e+00    0.00000e+00    0.00000e+00    2.01613e+20    1.34409e+20    1.34409e+20    0.00000e+00    4.03226e+20    4.03226e+20    0.00000e+00    4.03226e+20    0.00000e+00    0.00000e+00
    3.50549e-01    8.62082e+17    6.89666e+18    0.00000e+00    0.00000e+00    0.00000e+00    2.48256e+20    1.65504e+20    1.65504e+20    0.00000e+00    4.96511e+20    4.96511e+20    0.00000e+00    4.96511e+20    0.00000e+00    0.00000e+00
    3.90596e-01    1.20141e+18    9.61125e+18    0.00000e+00    0.00000e+00    0.00000e+00    3.05487e+20    2.03658e+20    2.03658e+20    0.00000e+00    6.10975e+20    6.10975e+20    0.00000e+00    6.10975e+20    0.00000e+00    0.00000e+00
    4.35219e-01    1.64277e+18    1.31422e+19    0.00000e+00    0.00000e+00    0.00000e+00    3.75406e+20    2.50271e+20    2.50271e+20    0.00000e+00    7.50812e+20    7.50812e+20    0.00000e+00    7.50812e+20    0.00000e+00    0.00000e+00
    4.84940e-01    2.23639e+18    1.78911e+19    0.00000e+00    0.00000e+00    0.00000e+00    4.60987e+20    3.07325e+20    3.07325e+20    0.00000e+00    9.21974e+20    9.21974e+20    0.00000e+00    9.21974e+20    0.00000e+00    0.00000e+00
    5.40341e-01    3.08195e+18    2.46556e+19    0.00000e+00    0.00000e+00    0.00000e+00    5.65168e+20    3.76779e+20    3.76779e+20    0.00000e+00    1.13034e+21    1.13034e+21    0.00000e+00    1.13034e+21    0.00000e+00    0.00000e+00
    6.02071e-01    4.18437e+18    3.34750e+19    0.00000e+00    0.00000e+00    0.00000e+00    6.92111e+20    4.61407e+20    4.61407e+20    0.00000e+00    1.38422e+21    1.38422e+21    0.00000e+00    1.38422e+21    0.00000e+00    0.00000e+00
    6.70853e-01    5.72762e+18    4.58210e+19    0.00000e+00    0.00000e+00    0.00000e+00    8.46055e+20    5.64037e+20    5.64037e+20    0.00000e+00    1.69211e+21    1.69211e+21    0.00000e+00    1.69211e+21    0.00000e+00    0.00000e+00
    7.47494e-01    7.80861e+18    6.24689e+19    0.00000e+00    0.00000e+00    0.00000e+00    1.03260e+21    6.88402e+20    6.88402e+20    0.00000e+00    2.06521e+21    2.06521e+21    0.00000e+00    2.06521e+21    0.00000e+00    0.00000e+00
    8.32889e-01    1.05938e+19    8.47506e+19    0.00000e+00    0.00000e+00    0.00000e+00    1.25775e+21    8.38499e+20    8.38499e+20    0.00000e+00    2.51550e+21    2.51550e+21    0.00000e+00    2.51550e+21    0.00000e+00    0.00000e+00
    9.28041e-01    1.43992e+19    1.15194e+20    0.00000e+00    0.00000e+00    0.00000e+00    1.52879e+21    1.01919e+21    1.01919e+21    0.00000e+00    3.05758e+21    3.05758e+21    0.00000e+00    3.05758e+21    0.00000e+00    0.00000e+00
    1.03406e+00    1.95384e+19    1.56307e+20    0.00000e+00    0.00000e+00    0.00000e+00    1.85392e+21    1.23594e+21    1.23594e+21    0.00000e+00    3.70783e+21    3.70783e+21    0.00000e+00    3.70783e+21    0.00000e+00    0.00000e+00
    1.15220e+00    2.64456e+19    2.11565e+20    0.00000e+00    0.00000e+00    0.00000e+00    2.24238e+21    1.49492e+21    1.49492e+21    0.00000e+00    4.48475e+21    4.48475e+21    0.00000e+00    4.48475e+21    0.00000e+00    0.00000e+00
