Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    5.53710e+23    0.00000e+00    1.69221e+23    1.07800e+19    0.00000e+00    0.00000e+00
    1.05200e-06    5.20828e+23    0.00000e+00    1.79005e+23    1.49980e+19    0.00000e+00    0.00000e+00
    1.10700e-06    5.08149e+23    0.00000e+00    1.88705e+23    1.73132e+19    0.00000e+00    0.00000e+00
    1.16400e-06    4.67836e+23    0.00000e+00    1.98105e+23    1.96161e+19    0.00000e+00    0.00000e+00
    1.22500e-06    4.61254e+23    0.00000e+00    2.07614e+23    2.37109e+19    0.00000e+00    0.00000e+00
    1.28900e-06    4.29747e+23    0.00000e+00    2.17112e+23    2.70918e+19    0.00000e+00    0.00000e+00
    1.35600e-06    4.13654e+23    0.00000e+00    2.34319e+23    3.31343e+19    0.00000e+00    0.00000e+00
    1.42700e-06    3.99672e+23    0.00000e+00    2.34587e+23    3.49338e+19    0.00000e+00    0.00000e+00
    1.50100e-06    3.77977e+23    0.00000e+00    2.55840e+23    4.83294e+19    0.00000e+00    0.00000e+00
    1.57900e-06    3.61366e+23    0.00000e+00    2.54024e+23    4.82821e+19    0.00000e+00    0.00000e+00
    1.66100e-06    3.39599e+23    0.00000e+00    2.71621e+23    6.59906e+19    0.00000e+00    0.00000e+00
    1.74800e-06    3.28245e+23    0.00000e+00    2.79195e+23    6.61488e+19    0.00000e+00    0.00000e+00
    1.83900e-06    3.08479e+23    0.00000e+00    2.88272e+23    8.92450e+19    0.00000e+00    0.00000e+00
    1.93500e-06    2.94282e+23    0.00000e+00    3.01157e+23    8.81291e+19    0.00000e+00    0.00000e+00
    2.03500e-06    2.81372e+23    0.00000e+00    3.02937e+23    1.05591e+20    0.00000e+00    0.00000e+00
    2.14100e-06    2.67445e+23    0.00000e+00    3.19481e+23    1.16753e+20    0.00000e+00    0.00000e+00
    2.25300e-06    2.56131e+23    0.00000e+00    3.20665e+23    1.53924e+20    0.00000e+00    0.00000e+00
    2.37000e-06    2.40784e+23    0.00000e+00    3.31632e+23    1.70661e+20    0.00000e+00    0.00000e+00
    2.49300e-06    2.32010e+23    0.00000e+00    3.36618e+23    1.97343e+20    0.00000e+00    0.00000e+00
    2.62300e-06    2.19232e+23    0.00000e+00    3.42572e+23    2.31628e+20    0.00000e+00    0.00000e+00
    2.76000e-06    2.07835e+23    0.00000e+00    3.46388e+23    2.57791e+20    0.00000e+00    0.00000e+00
    2.90400e-06    2.00929e+23    0.00000e+00    3.48364e+23    3.10055e+20    0.00000e+00    0.00000e+00
    3.05500e-06    1.87888e+23    0.00000e+00    3.49778e+23    3.26721e+20    0.00000e+00    0.00000e+00
    3.21400e-06    1.82804e+23    0.00000e+00    3.54173e+23    4.28997e+20    0.00000e+00    0.00000e+00
    3.38100e-06    1.69090e+23    0.00000e+00    3.51255e+23    4.36719e+20    0.00000e+00    0.00000e+00
    3.55700e-06    1.64316e+23    0.00000e+00    3.51823e+23    5.59694e+20    0.00000e+00    0.00000e+00
    3.74200e-06    1.54489e+23    0.00000e+00    3.46633e+23    5.69481e+20    0.00000e+00    0.00000e+00
    3.93700e-06    1.49165e+23    0.00000e+00    3.46536e+23    7.25538e+20    0.00000e+00    0.00000e+00
    4.14200e-06    1.37690e+23    0.00000e+00    3.38095e+23    7.30201e+20    0.00000e+00    0.00000e+00
    4.35800e-06    1.35549e+23    0.00000e+00    3.35530e+23    9.52829e+20    0.00000e+00    0.00000e+00
    4.58500e-06    1.26183e+23    0.00000e+00    3.21788e+23    9.53362e+20    0.00000e+00    0.00000e+00
    4.82400e-06    1.21981e+23    0.00000e+00    3.20738e+23    1.11327e+21    0.00000e+00    0.00000e+00
    5.07500e-06    1.14303e+23    0.00000e+00    3.04535e+23    1.18981e+21    0.00000e+00    0.00000e+00
    5.33900e-06    1.11355e+23    0.00000e+00    2.99887e+23    1.47349e+21    0.00000e+00    0.00000e+00
    5.61700e-06    1.03660e+23    0.00000e+00    2.85913e+23    1.59034e+21    0.00000e+00    0.00000e+00
    5.90900e-06    1.00121e+23    0.00000e+00    2.75609e+23    1.75516e+21    0.00000e+00    0.00000e+00
    6.21700e-06    9.48315e+22    0.00000e+00    2.62730e+23    1.93737e+21    0.00000e+00    0.00000e+00
    6.54100e-06    8.96870e+22    0.00000e+00    2.48512e+23    2.17787e+21    0.00000e+00    0.00000e+00
    6.88100e-06    8.74029e+22    0.00000e+00    2.37468e+23    2.36990e+21    0.00000e+00    0.00000e+00
    7.24000e-06    8.14693e+22    0.00000e+00    2.22042e+23    2.58627e+21    0.00000e+00    0.00000e+00
    7.61700e-06    7.94913e+22    0.00000e+00    2.11474e+23    2.98273e+21    0.00000e+00    0.00000e+00
    8.01300e-06    7.40415e+22    0.00000e+00    1.96061e+23    3.15013e+21    0.00000e+00    0.00000e+00
    8.43000e-06    7.17362e+22    0.00000e+00    1.84983e+23    3.57201e+21    0.00000e+00    0.00000e+00
    8.86900e-06    6.71628e+22    0.00000e+00    1.69932e+23    3.84136e+21    0.00000e+00    0.00000e+00
    9.33100e-06    6.55058e+22    0.00000e+00    1.60152e+23    4.22621e+21    0.00000e+00    0.00000e+00
    9.81700e-06    6.17162e+22    0.00000e+00    1.45422e+23    4.52226e+21    0.00000e+00    0.00000e+00
    1.03300e-05    5.97574e+22    0.00000e+00    1.35584e+23    5.12276e+21    0.00000e+00    0.00000e+00
    1.08700e-05    5.55985e+22    0.00000e+00    1.23376e+23    5.42105e+21    0.00000e+00    0.00000e+00
    1.14300e-05    5.47111e+22    0.00000e+00    1.13846e+23    5.99719e+21    0.00000e+00    0.00000e+00
    1.20300e-05    5.11127e+22    0.00000e+00    1.03085e+23    6.46939e+21    0.00000e+00    0.00000e+00
    1.26500e-05    4.94314e+22    0.00000e+00    9.45492e+22    7.02620e+21    0.00000e+00    0.00000e+00
    1.33100e-05    4.66725e+22    0.00000e+00    8.62407e+22    7.78453e+21    0.00000e+00    0.00000e+00
    1.40100e-05    4.49283e+22    0.00000e+00    7.77791e+22    8.06981e+21    0.00000e+00    0.00000e+00
    1.47300e-05    4.22364e+22    0.00000e+00    7.17817e+22    8.98199e+21    0.00000e+00    0.00000e+00
    1.55000e-05    4.08238e+22    0.00000e+00    6.39842e+22    9.65002e+21    0.00000e+00    0.00000e+00
