Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    1.83539e+22    0.00000e+00    5.12470e+22    1.66095e+20    0.00000e+00    0.00000e+00
    1.05200e-06    1.79899e+22    0.00000e+00    5.00453e+22    2.11286e+20    0.00000e+00    0.00000e+00
    1.10700e-06    1.64653e+22    0.00000e+00    4.71087e+22    2.14414e+20    0.00000e+00    0.00000e+00
    1.16400e-06    1.63580e+22    0.00000e+00    4.58353e+22    2.60911e+20    0.00000e+00    0.00000e+00
    1.22500e-06    1.50639e+22    0.00000e+00    4.25003e+22    2.57374e+20    0.00000e+00    0.00000e+00
    1.28900e-06    1.47836e+22    0.00000e+00    4.11332e+22    3.31956e+20    0.00000e+00    0.00000e+00
    1.35600e-06    1.36114e+22    0.00000e+00    3.79697e+22    3.31250e+20    0.00000e+00    0.00000e+00
    1.42700e-06    1.34807e+22    0.00000e+00    3.62240e+22    4.02837e+20    0.00000e+00    0.00000e+00
    1.50100e-06    1.24499e+22    0.00000e+00    3.33855e+22    4.23669e+20    0.00000e+00    0.00000e+00
    1.57900e-06    1.21603e+22    0.00000e+00    3.13724e+22    4.85053e+20    0.00000e+00    0.00000e+00
    1.66100e-06    1.14273e+22    0.00000e+00    2.89037e+22    5.44922e+20    0.00000e+00    0.00000e+00
    1.74800e-06    1.10070e+22    0.00000e+00    2.66875e+22    5.64824e+20    0.00000e+00    0.00000e+00
    1.83900e-06    1.04695e+22    0.00000e+00    2.46709e+22    6.59850e+20    0.00000e+00    0.00000e+00
    1.93500e-06    1.00451e+22    0.00000e+00    2.24700e+22    6.89841e+20    0.00000e+00    0.00000e+00
    2.03500e-06    9.58573e+21    0.00000e+00    2.07262e+22    7.81550e+20    0.00000e+00    0.00000e+00
    2.14100e-06    9.14816e+21    0.00000e+00    1.87329e+22    8.34787e+20    0.00000e+00    0.00000e+00
    2.25300e-06    8.74725e+21    0.00000e+00    1.72078e+22    9.22106e+20    0.00000e+00    0.00000e+00
    2.37000e-06    8.27246e+21    0.00000e+00    1.55076e+22    9.93670e+20    0.00000e+00    0.00000e+00
    2.49300e-06    7.98667e+21    0.00000e+00    1.41981e+22    1.09761e+21    0.00000e+00    0.00000e+00
    2.62300e-06    7.53825e+21    0.00000e+00    1.27195e+22    1.21233e+21    0.00000e+00    0.00000e+00
    2.76000e-06    7.24569e+21    0.00000e+00    1.15823e+22    1.28979e+21    0.00000e+00    0.00000e+00
    2.90400e-06    6.78667e+21    0.00000e+00    1.04531e+22    1.43709e+21    0.00000e+00    0.00000e+00
    3.05500e-06    6.55918e+21    0.00000e+00    9.48359e+21    1.52359e+21    0.00000e+00    0.00000e+00
    3.21400e-06    6.18504e+21    0.00000e+00    8.56852e+21    1.66743e+21    0.00000e+00    0.00000e+00
    3.38100e-06    5.92910e+21    0.00000e+00    7.78548e+21    1.80744e+21    0.00000e+00    0.00000e+00
    3.55700e-06    5.59289e+21    0.00000e+00    7.17840e+21    1.95969e+21    0.00000e+00    0.00000e+00
    3.74200e-06    5.40696e+21    0.00000e+00    6.47130e+21    2.10652e+21    0.00000e+00    0.00000e+00
    3.93700e-06    5.07266e+21    0.00000e+00    6.11468e+21    2.26679e+21    0.00000e+00    0.00000e+00
    4.14200e-06    4.94463e+21    0.00000e+00    5.52152e+21    2.43894e+21    0.00000e+00    0.00000e+00
    4.35800e-06    4.61567e+21    0.00000e+00    5.30253e+21    2.61211e+21    0.00000e+00    0.00000e+00
    4.58500e-06    4.52320e+21    0.00000e+00    4.86225e+21    2.85124e+21    0.00000e+00    0.00000e+00
    4.82400e-06    4.24276e+21    0.00000e+00    4.75768e+21    3.02464e+21    0.00000e+00    0.00000e+00
    5.07500e-06    4.10541e+21    0.00000e+00    4.47591e+21    3.26067e+21    0.00000e+00    0.00000e+00
    5.33900e-06    3.89997e+21    0.00000e+00    4.39761e+21    3.44066e+21    0.00000e+00    0.00000e+00
    5.61700e-06    3.79428e+21    0.00000e+00    4.19335e+21    3.73850e+21    0.00000e+00    0.00000e+00
    5.90900e-06    3.57839e+21    0.00000e+00    4.20098e+21    3.89580e+21    0.00000e+00    0.00000e+00
    6.21700e-06    3.51703e+21    0.00000e+00    4.10432e+21    4.21469e+21    0.00000e+00    0.00000e+00
    6.54100e-06    3.34572e+21    0.00000e+00    4.15305e+21    4.40664e+21    0.00000e+00    0.00000e+00
    6.88100e-06    3.27279e+21    0.00000e+00    4.14050e+21    4.71400e+21    0.00000e+00    0.00000e+00
    7.24000e-06    3.13671e+21    0.00000e+00    4.17209e+21    4.98055e+21    0.00000e+00    0.00000e+00
    7.61700e-06    3.04600e+21    0.00000e+00    4.29013e+21    5.24273e+21    0.00000e+00    0.00000e+00
    8.01300e-06    2.98675e+21    0.00000e+00    4.28125e+21    5.52689e+21    0.00000e+00    0.00000e+00
    8.43000e-06    2.87316e+21    0.00000e+00    4.46673e+21    5.80913e+21    0.00000e+00    0.00000e+00
    8.86900e-06    2.84336e+21    0.00000e+00    4.47906e+21    6.10585e+21    0.00000e+00    0.00000e+00
    9.33100e-06    2.72619e+21    0.00000e+00    4.68411e+21    6.35808e+21    0.00000e+00    0.00000e+00
    9.81700e-06    2.69787e+21    0.00000e+00    4.74722e+21    6.70363e+21    0.00000e+00    0.00000e+00
    1.03300e-05    2.63597e+21    0.00000e+00    4.95481e+21    6.98431e+21    0.00000e+00    0.00000e+00
    1.08700e-05    2.59425e+21    0.00000e+00    5.04787e+21    7.29019e+21    0.00000e+00    0.00000e+00
    1.14300e-05    2.54879e+21    0.00000e+00    5.21355e+21    7.56290e+21    0.00000e+00    0.00000e+00
    1.20300e-05    2.54164e+21    0.00000e+00    5.34026e+21    7.90701e+21    0.00000e+00    0.00000e+00
    1.26500e-05    2.49612e+21    0.00000e+00    5.50511e+21    8.18265e+21    0.00000e+00    0.00000e+00
    1.33100e-05    2.52418e+21    0.00000e+00    5.62194e+21    8.44803e+21    0.00000e+00    0.00000e+00
    1.40100e-05    2.46926e+21    0.00000e+00    5.80146e+21    8.79242e+21    0.00000e+00    0.00000e+00
    1.47300e-05    2.51800e+21    0.00000e+00    5.92338e+21    9.02670e+21    0.00000e+00    0.00000e+00
    1.55000e-05    2.47061e+21    0.00000e+00    6.05979e+21    9.39293e+21    0.00000e+00    0.00000e+00
    1.63100e-05    2.51088e+21    0.00000e+00    6.19710e+21    9.59027e+21    0.00000e+00    0.00000e+00
    1.71600e-05    2.49486e+21    0.00000e+00    6.29626e+21    9.94262e+21    0.00000e+00    0.00000e+00
    1.80500e-05    2.53728e+21    0.00000e+00    6.42276e+21    1.01522e+22    0.00000e+00    0.00000e+00
    1.89900e-05    2.54280e+21    0.00000e+00    6.53599e+21    1.04670e+22    0.00000e+00    0.00000e+00
    1.99800e-05    2.58523e+21    0.00000e+00    6.63933e+21    1.06499e+22    1.02766e+17    0.00000e+00
    2.10200e-05    2.59161e+21    0.00000e+00    6.75196e+21    1.09692e+22    1.13121e+17    0.00000e+00
    2.21200e-05    2.65447e+21    0.00000e+00    6.84573e+21    1.11273e+22    1.25075e+17    0.00000e+00
    2.32700e-05    2.68320e+21    0.00000e+00    6.93894e+21    1.14130e+22    1.37738e+17    0.00000e+00
    2.44800e-05    2.73333e+21    0.00000e+00    6.99184e+21    1.15529e+22    1.52102e+17    0.00000e+00
    2.57500e-05    2.77643e+21    0.00000e+00    7.08716e+21    1.18349e+22    1.67570e+17    0.00000e+00
    2.70900e-05    2.83506e+21    0.00000e+00    7.13054e+21    1.19408e+22    1.84930e+17    0.00000e+00
    2.85000e-05    2.89544e+21    0.00000e+00    7.18881e+21    1.21293e+22    2.03923e+17    0.00000e+00
    2.99900e-05    2.93204e+21    0.00000e+00    7.23763e+21    1.22691e+22    2.24997e+17    0.00000e+00
    3.15500e-05    3.01229e+21    0.00000e+00    7.26673e+21    1.23979e+22    2.48238e+17    0.00000e+00
    3.31900e-05    3.04803e+21    0.00000e+00    7.29074e+21    1.25338e+22    2.73551e+17    0.00000e+00
    3.49200e-05    3.12503e+21    0.00000e+00    7.31918e+21    1.26070e+22    3.02056e+17    0.00000e+00
    3.67400e-05    3.16928e+21    0.00000e+00    7.32385e+21    1.27135e+22    3.32707e+17    0.00000e+00
    3.86500e-05    3.24450e+21    0.00000e+00    7.31371e+21    1.27622e+22    3.67515e+17    0.00000e+00
    4.06600e-05    3.28897e+21    0.00000e+00    7.29775e+21    1.28192e+22    4.04426e+17    0.00000e+00
    4.27800e-05    3.36165e+21    0.00000e+00    7.28206e+21    1.28284e+22    4.47156e+17    0.00000e+00
    4.50100e-05    3.41233e+21    0.00000e+00    7.25368e+21    1.28710e+22    4.92103e+17    0.00000e+00
    4.73500e-05    3.47350e+21    0.00000e+00    7.19488e+21    1.28245e+22    5.43983e+17    0.00000e+00
    4.98200e-05    3.53339e+21    0.00000e+00    7.17216e+21    1.28429e+22    5.99045e+17    0.00000e+00
    5.24100e-05    3.57756e+21    0.00000e+00    7.08655e+21    1.27584e+22    6.61767e+17    0.00000e+00
    5.51400e-05    3.63852e+21    0.00000e+00    7.04977e+21    1.27454e+22    7.29076e+17    0.00000e+00
    5.80100e-05    3.66459e+21    0.00000e+00    6.95069e+21    1.26272e+22    8.04968e+17    0.00000e+00
    6.10300e-05    3.73859e+21    0.00000e+00    6.88391e+21    1.25593e+22    8.87320e+17    0.00000e+00
    6.42100e-05    3.73617e+21    0.00000e+00    6.78286e+21    1.24299e+22    9.79124e+17    0.00000e+00
    6.75600e-05    3.81083e+21    0.00000e+00    6.69628e+21    1.23098e+22    1.08016e+18    0.00000e+00
    7.10700e-05    3.80783e+21    0.00000e+00    6.58862e+21    1.21639e+22    1.19077e+18    0.00000e+00
    7.47700e-05    3.85869e+21    0.00000e+00    6.48005e+21    1.20098e+22    1.31419e+18    0.00000e+00
    7.86700e-05    3.86267e+21    0.00000e+00    6.36781e+21    1.18349e+22    1.44830e+18    0.00000e+00
    8.27600e-05    3.89403e+21    0.00000e+00    6.23058e+21    1.16468e+22    1.59919e+18    0.00000e+00
    8.70700e-05    3.88837e+21    0.00000e+00    6.10977e+21    1.14542e+22    1.76085e+18    0.00000e+00
    9.16100e-05    3.91409e+21    0.00000e+00    5.96051e+21    1.12161e+22    1.94610e+18    0.00000e+00
    9.63800e-05    3.90060e+21    0.00000e+00    5.83351e+21    1.10276e+22    2.14124e+18    0.00000e+00
    1.01400e-04    3.91111e+21    0.00000e+00    5.65804e+21    1.07422e+22    2.36779e+18    0.00000e+00
    1.06700e-04    3.89029e+21    0.00000e+00    5.53843e+21    1.05424e+22    2.60697e+18    0.00000e+00
    1.12200e-04    3.88005e+21    0.00000e+00    5.35729e+21    1.02380e+22    2.87882e+18    0.00000e+00
    1.18100e-04    3.86083e+21    0.00000e+00    5.21825e+21    1.00120e+22    3.17331e+18    0.00000e+00
    1.24200e-04    3.82332e+21    0.00000e+00    5.03741e+21    9.70086e+21    3.50258e+18    0.00000e+00
    1.30700e-04    3.80465e+21    0.00000e+00    4.88793e+21    9.44267e+21    3.86141e+18    0.00000e+00
