1    9.42e-4  7.65e-4
3    2.48e-3  2.25e-3
13   6.96e-3  6.37e-3
15   7.46e-3  6.97e-3
17   7.97e-3  7.95e-3
19   8.74e-3  8.42e-3
21   9.42e-3  8.94e-3
24   1.01e-2  9.50e-3
27   1.03e-2  9.93e-3
30   1.09e-2  1.03e-2
33   1.08e-2  1.04e-2
38   1.07e-2  1.01e-2
42   1.01e-2  9.61e-3
47   8.85e-3  8.35e-3
53   6.96e-3  6.59e-3
60   6.44e-3  6.00e-3
67   5.93e-3  5.64e-3
75   5.43e-3  5.14e-3
84   4.97e-3  4.63e-3
94   4.51e-3  4.30e-3
106  4.06e-3  3.72e-3
119  3.58e-3  3.29e-3
133  3.17e-3  2.88e-3
150  2.73e-3  2.49e-3
168  2.39e-3  2.13e-3
188  2.04e-3  1.83e-3
211  1.70e-3  1.54e-3
237  1.45e-3  1.29e-3
266  1.20e-3  1.06e-3
299  9.96e-4  8.80e-4
335  8.11e-4  7.13e-4
376  6.62e-4  5.75e-4
422  5.27e-4  4.60e-4
473  4.23e-4  3.68e-4
531  3.37e-4  2.88e-4
596  2.66e-4  2.28e-4
668  2.09e-4  1.87e-4
750  1.62e-4  1.37e-4
841  1.24e-4  1.06e-4
944  9.50e-5  8.00e-5
